DXL345加速度(mg)：X=8 Y=-4 Z=1004
CSV_BEGIN
session,timestamp,time_s,temp_c,motion,shock
7,2026-08-08 17:25:11,186,27.0,,YES
7,2026-08-08 17:25:12,187,27.0,,YES
7,2026-08-08 17:25:13,188,27.1,,YES
7,2026-08-08 17:25:16,191,27.1,,YES
7,2026-08-08 17:25:30,206,27.0,,
7,2026-08-08 17:25:32,207,27.0,END,
7,2026-08-08 17:26:30,266,26.4,,
8,2026-08-08 17:40:39,1,25.7,,
8,2026-08-08 17:41:40,62,25.5,,YES
8,2026-08-08 17:41:48,70,25.6,,YES
9,2026-08-08 17:42:54,1,25.9,,
10,2026-08-08 17:43:19,1,25.5,,
10,2026-08-08 17:43:31,13,25.5,,YES
10,2026-08-08 17:43:38,20,25.3,START,
10,2026-08-08 17:43:59,41,25.1,,
10,2026-08-08 17:44:00,43,25.1,START,
10,2026-08-08 17:44:02,45,25.1,,YES
10,2026-08-08 17:44:24,67,24.8,,YES
10,2026-08-08 17:45:01,104,24.6,,
10,2026-08-08 17:46:05,168,24.4,,
10,2026-08-08 17:47:06,228,24.4,,
10,2026-08-08 17:48:06,288,24.6,,
10,2026-08-08 17:49:06,348,24.8,,
11,2026-08-08 17:49:39,1,25.0,,
11,2026-08-08 17:50:32,55,25.1,START,
11,2026-08-08 17:50:37,60,NA,,YES
11,2026-08-08 17:50:39,61,25.1,,
11,2026-08-08 17:50:40,63,25.1,,YES
11,2026-08-08 17:51:39,121,25.2,,
11,2026-08-08 17:52:41,184,25.3,,
11,2026-08-08 17:53:35,238,25.5,END,
11,2026-08-08 17:53:41,244,25.5,,
11,2026-08-08 17:53:53,256,25.4,START,
11,2026-08-08 17:53:57,259,25.5,END,
11,2026-08-08 17:54:01,263,25.5,START,
11,2026-08-08 17:54:05,267,25.4,,YES
11,2026-08-08 17:54:08,270,25.3,END,
11,2026-08-08 17:54:12,274,25.3,START,
11,2026-08-08 17:54:16,278,25.3,END,
11,2026-08-08 17:54:18,280,25.3,START,
11,2026-08-08 17:54:18,280,25.3,,YES
11,2026-08-08 17:54:28,290,25.3,END,
11,2026-08-08 17:54:42,304,25.1,,
12,2026-08-08 17:55:15,1,24.8,,
12,2026-08-08 17:56:15,61,24.5,,
12,2026-08-08 17:56:38,85,24.5,START,
12,2026-08-08 17:56:44,91,24.4,,YES
12,2026-08-08 17:56:46,93,24.4,END,
12,2026-08-08 17:56:49,96,24.4,START,
12,2026-08-08 17:56:52,99,24.4,END,
12,2026-08-08 17:56:54,101,24.4,START,
12,2026-08-08 17:56:56,103,24.4,END,
12,2026-08-08 17:56:59,106,24.4,,YES
12,2026-08-08 17:57:04,111,24.3,,YES
12,2026-08-08 17:57:14,122,24.3,,
12,2026-08-08 17:58:15,182,24.0,,
12,2026-08-08 17:59:15,242,23.9,,
12,2026-08-08 18:00:12,299,NA,,YES
12,2026-08-08 18:00:15,302,24.2,,
12,2026-08-08 18:00:18,306,24.2,,YES
12,2026-08-08 18:00:22,309,24.2,,YES
12,2026-08-08 18:00:28,316,24.3,START,
12,2026-08-08 18:00:32,320,24.3,END,
12,2026-08-08 18:00:35,322,24.3,START,
12,2026-08-08 18:00:38,325,24.3,END,
12,2026-08-08 18:00:40,327,24.3,START,
12,2026-08-08 18:00:42,329,24.3,END,
12,2026-08-08 18:01:15,362,24.4,,
13,2026-08-08 18:13:55,1,25.3,,
13,2026-08-08 18:14:00,6,25.3,START,
13,2026-08-08 18:14:04,10,25.4,END,
13,2026-08-08 18:14:09,15,25.5,START,
13,2026-08-08 18:14:09,15,25.5,,YES
13,2026-08-08 18:14:10,16,25.5,,YES
13,2026-08-08 18:14:11,17,25.5,,YES
13,2026-08-08 18:14:13,19,25.5,,YES
13,2026-08-08 18:14:14,20,25.5,,YES
13,2026-08-08 18:14:32,39,25.7,,YES
13,2026-08-08 18:14:35,41,25.8,,YES
13,2026-08-08 18:14:42,49,25.9,END,
13,2026-08-08 18:14:44,51,25.9,START,
13,2026-08-08 18:14:48,55,25.9,END,
13,2026-08-08 18:14:55,62,25.9,,
13,2026-08-08 18:15:55,122,25.8,,
13,2026-08-08 18:16:55,182,25.9,,
13,2026-08-08 18:17:55,242,25.9,,
13,2026-08-08 18:18:56,302,26.0,,
13,2026-08-08 18:19:56,362,26.0,,
13,2026-08-08 18:20:56,423,26.1,,
13,2026-08-08 18:21:56,483,26.1,,
13,2026-08-08 18:22:56,543,25.8,,
13,2026-08-08 18:23:57,603,25.6,,
13,2026-08-08 18:24:57,663,25.4,,
13,2026-08-08 18:25:57,723,25.1,,
14,2026-08-08 18:34:11,1,25.7,,
14,2026-08-08 18:35:11,61,25.9,,
14,2026-08-08 18:36:11,121,26.0,,
14,2026-08-08 18:37:11,182,25.9,,
14,2026-08-08 18:38:12,242,25.8,,
14,2026-08-08 18:39:12,302,25.5,,
14,2026-08-08 18:40:12,362,25.3,,
14,2026-08-08 18:41:22,432,25.4,,
14,2026-08-08 18:42:25,496,25.5,,
14,2026-08-08 18:43:25,556,25.6,,
14,2026-08-08 18:44:28,618,25.6,,
14,2026-08-08 18:45:25,676,25.7,START,
14,2026-08-08 18:45:28,678,25.7,,
14,2026-08-08 18:46:08,718,25.8,END,
14,2026-08-08 18:46:15,725,25.9,START,
14,2026-08-08 18:46:28,738,26.0,,
14,2026-08-08 18:46:40,752,26.2,,YES
14,2026-08-08 18:46:42,754,26.1,END,
14,2026-08-08 18:47:29,800,26.0,,
14,2026-08-08 18:48:30,861,26.0,,
14,2026-08-08 18:48:30,861,26.0,,YES
14,2026-08-08 18:49:30,921,26.2,,
14,2026-08-08 18:50:30,982,26.3,,
15,2026-08-08 21:17:53,3,NA,START,
15,2026-08-08 21:17:58,8,NA,END,
16,2026-08-08 21:18:06,4,NA,START,
17,2026-08-08 21:19:17,7,NA,START,
17,2026-08-08 21:19:20,10,NA,END,
17,2026-08-08 21:19:23,13,NA,START,
18,2026-08-08 21:30:42,3,NA,START,
18,2026-08-08 21:30:44,5,NA,END,
19,2026-08-08 21:35:23,3,NA,START,
19,2026-08-08 21:35:25,5,NA,END,
19,2026-08-08 21:35:36,16,NA,START,
19,2026-08-08 21:35:45,25,NA,END,
19,2026-08-08 21:35:46,27,NA,START,
19,2026-08-08 21:35:52,33,NA,END,
19,2026-08-08 21:35:55,35,NA,START,
19,2026-08-08 21:35:57,37,NA,END,
19,2026-08-08 21:35:59,39,NA,START,
19,2026-08-08 21:36:06,46,NA,END,
19,2026-08-08 21:36:09,49,NA,START,
19,2026-08-08 21:36:13,53,NA,END,
19,2026-08-08 21:36:20,60,NA,START,
19,2026-08-08 21:36:21,61,NA,END,
19,2026-08-08 21:36:32,72,NA,START,
19,2026-08-08 21:36:41,81,NA,END,
19,2026-08-08 21:36:44,84,NA,START,
20,2026-08-08 21:36:47,2,NA,START,
20,2026-08-08 21:36:49,4,NA,END,
20,2026-08-08 21:36:50,5,NA,START,
20,2026-08-08 21:36:55,10,NA,END,
20,2026-08-08 21:37:02,17,NA,START,
21,2026-08-08 21:38:52,10,NA,START,
21,2026-08-08 21:39:00,18,NA,END,
21,2026-08-08 21:39:04,22,NA,START,
21,2026-08-08 21:39:20,39,NA,END,
21,2026-08-08 21:39:26,44,NA,START,
21,2026-08-08 21:39:27,45,NA,END,
21,2026-08-08 21:39:38,56,NA,START,
21,2026-08-08 21:39:50,68,NA,END,
21,2026-08-08 21:40:04,82,NA,START,
21,2026-08-08 21:40:08,86,NA,END,
21,2026-08-08 21:40:10,88,NA,START,
22,2026-08-08 21:42:47,1,30.7,,
22,2026-08-08 21:42:49,3,30.7,START,
22,2026-08-08 21:42:51,5,30.7,END,
22,2026-08-08 21:42:54,8,30.7,START,
22,2026-08-08 21:42:59,13,30.7,,YES
22,2026-08-08 21:43:01,15,30.7,END,
22,2026-08-08 21:43:04,18,30.7,,YES
22,2026-08-08 21:43:07,21,30.7,START,
22,2026-08-08 21:43:48,62,30.4,,
22,2026-08-08 21:43:49,63,30.4,END,
22,2026-08-08 21:43:52,67,30.5,START,
22,2026-08-08 21:44:11,86,30.5,,YES
22,2026-08-08 21:44:12,86,30.5,,YES
22,2026-08-08 21:44:17,92,30.4,,YES
22,2026-08-08 21:44:20,94,30.3,END,
22,2026-08-08 21:44:21,95,30.3,START,
22,2026-08-08 21:44:25,99,30.3,,YES
22,2026-08-08 21:44:26,100,30.3,,YES
22,2026-08-08 21:44:30,105,30.3,END,
22,2026-08-08 21:44:36,110,30.3,START,
22,2026-08-08 21:44:39,113,30.2,,YES
22,2026-08-08 21:44:40,114,30.2,,YES
22,2026-08-08 21:44:41,115,30.2,,YES
22,2026-08-08 21:44:49,124,30.1,,
22,2026-08-08 21:45:00,134,30.3,END,
22,2026-08-08 21:45:09,144,31.1,START,
22,2026-08-08 21:45:23,157,30.6,,YES
23,2026-08-08 21:45:32,1,30.5,,
23,2026-08-08 21:45:35,4,30.5,START,
23,2026-08-08 21:45:37,6,30.5,END,
23,2026-08-08 21:45:41,10,30.5,START,
23,2026-08-08 21:45:52,21,30.3,END,
23,2026-08-08 21:46:00,29,30.2,START,
23,2026-08-08 21:46:06,35,30.1,END,
23,2026-08-08 21:46:10,39,30.2,START,
23,2026-08-08 21:46:13,42,30.2,,YES
23,2026-08-08 21:46:32,62,30.1,,
23,2026-08-08 21:46:51,80,30.1,END,
23,2026-08-08 21:46:53,82,30.1,START,
23,2026-08-08 21:46:58,87,30.0,,YES
23,2026-08-08 21:46:59,88,30.0,,YES
23,2026-08-08 21:47:00,89,30.0,,YES
23,2026-08-08 21:47:33,122,30.0,,
24,2026-08-08 21:47:53,1,30.1,,
24,2026-08-08 21:47:57,5,30.0,START,
24,2026-08-08 21:48:05,13,30.0,,YES
24,2026-08-08 21:48:15,23,30.0,END,
24,2026-08-08 21:48:18,26,30.0,,YES
24,2026-08-08 21:48:22,30,30.0,START,
24,2026-08-08 21:48:25,33,30.0,,YES
24,2026-08-08 21:48:26,34,30.0,,YES
24,2026-08-08 21:48:29,37,30.0,END,
24,2026-08-08 21:48:32,40,30.0,START,
24,2026-08-08 21:48:34,42,30.0,END,
24,2026-08-08 21:48:35,43,30.0,START,
24,2026-08-08 21:48:36,44,30.0,,YES
24,2026-08-08 21:48:53,61,29.9,,
24,2026-08-08 21:49:32,100,30.0,END,
24,2026-08-08 21:49:41,109,30.0,START,
24,2026-08-08 21:49:53,121,30.0,END,
24,2026-08-08 21:49:53,122,30.0,,
24,2026-08-08 21:50:08,137,29.9,START,
24,2026-08-08 21:50:17,145,29.9,END,
24,2026-08-08 21:50:25,153,29.9,START,
25,2026-08-09 07:32:32,1,28.5,,
25,2026-08-09 07:32:33,2,28.5,START,
25,2026-08-09 07:32:40,10,28.6,END,
25,2026-08-09 07:32:43,12,28.6,START,
25,2026-08-09 07:32:45,14,28.6,END,
25,2026-08-09 07:32:53,22,28.6,START,
26,2026-08-10 00:35:22,1,31.1,,
26,2026-08-10 00:35:32,11,31.1,START,
26,2026-08-10 00:35:35,14,31.1,,YES
26,2026-08-10 00:35:37,16,31.1,END,
26,2026-08-10 00:36:22,61,31.1,,
26,2026-08-10 00:37:22,121,31.1,,
26,2026-08-10 00:38:23,183,31.0,,
26,2026-08-10 00:38:44,203,31.1,,YES
26,2026-08-10 00:39:23,243,31.1,,
26,2026-08-10 00:40:06,284,31.2,START,
26,2026-08-10 00:40:07,286,31.2,END,
26,2026-08-10 00:40:24,303,31.4,,
26,2026-08-10 00:41:24,363,31.6,,
26,2026-08-10 00:42:01,399,31.5,START,
26,2026-08-10 00:42:03,402,31.4,END,
26,2026-08-10 00:42:24,423,31.3,,
27,2026-08-10 00:45:41,1,31.3,,
27,2026-08-10 00:46:41,61,31.3,,
27,2026-08-10 00:47:41,121,31.1,,
27,2026-08-10 00:48:41,182,31.0,,
CSV_END
