sequence,type,timestamp,uptime_s,temp_c,x_mg,y_mg,z_mg
411,TEMP,2026-08-10 00:50:44,304,31.0,8,8,988
412,TEMP,2026-08-10 00:51:44,364,31.0,8,-8,1004
413,TEMP,2026-08-10 00:52:44,424,31.1,16,-28,1028
414,TEMP,2026-08-10 00:53:44,484,31.1,12,-4,996
415,TEMP,2026-08-10 00:54:45,544,31.0,4,-24,1020
416,TEMP,2026-08-10 00:55:45,605,30.9,4,-4,1004
417,TEMP,2026-08-10 00:56:47,667,31.0,0,12,996
418,TEMP,2026-08-10 00:57:47,727,30.9,0,0,996
419,TEMP,2026-08-10 00:58:47,787,31.0,16,-8,1004
420,TEMP,2026-08-10 00:59:47,848,31.0,0,-12,1012
